resuming from checkpoint at step 25000
corpus: 1,115,394 chars, vocab 65
will train for 2.0 hours with 8 workers

training...

step  26370 | loss  1.432 |  99.7 min left
step  26380 | loss  1.464 |  99.6 min left
step  26390 | loss  1.501 |  99.5 min left
step  26400 | loss  1.451 |  99.3 min left
step  26410 | loss  1.465 |  99.2 min left
step  26420 | loss  1.528 |  99.1 min left
step  26430 | loss  1.476 |  98.9 min left
step  26440 | loss  1.441 |  98.8 min left
step  26450 | loss  1.473 |  98.6 min left
step  26460 | loss  1.493 |  98.5 min left
step  26470 | loss  1.456 |  98.4 min left
step  26480 | loss  1.437 |  98.2 min left
step  26490 | loss  1.441 |  98.1 min left
step  26500 | loss  1.472 |  98.0 min left
step  26510 | loss  1.436 |  97.8 min left
step  26520 | loss  1.465 |  97.7 min left
step  26530 | loss  1.471 |  97.5 min left
step  26540 | loss  1.456 |  97.4 min left
step  26550 | loss  1.500 |  97.2 min left
step  26560 | loss  1.469 |  97.1 min left
step  26570 | loss  1.486 |  96.9 min left
step  26580 | loss  1.492 |  96.8 min left
step  26590 | loss  1.481 |  96.7 min left
step  26600 | loss  1.462 |  96.5 min left
step  26610 | loss  1.469 |  96.4 min left
step  26620 | loss  1.462 |  96.2 min left
step  26630 | loss  1.435 |  96.1 min left
step  26640 | loss  1.462 |  96.0 min left
step  26650 | loss  1.477 |  95.8 min left
step  26660 | loss  1.468 |  95.7 min left
step  26670 | loss  1.452 |  95.5 min left
step  26680 | loss  1.484 |  95.4 min left
step  26690 | loss  1.501 |  95.2 min left
step  26700 | loss  1.491 |  95.1 min left
step  26710 | loss  1.476 |  95.0 min left
step  26720 | loss  1.467 |  94.8 min left
step  26730 | loss  1.449 |  94.7 min left
step  26740 | loss  1.430 |  94.5 min left
step  26750 | loss  1.469 |  94.4 min left
step  26760 | loss  1.489 |  94.2 min left
step  26770 | loss  1.514 |  94.1 min left
step  26780 | loss  1.477 |  94.0 min left
step  26790 | loss  1.470 |  93.8 min left
step  26800 | loss  1.462 |  93.7 min left
step  26810 | loss  1.503 |  93.5 min left
step  26820 | loss  1.503 |  93.4 min left
step  26830 | loss  1.487 |  93.3 min left
step  26840 | loss  1.469 |  93.1 min left
step  26850 | loss  1.472 |  93.0 min left
step  26860 | loss  1.469 |  92.8 min left
step  26870 | loss  1.482 |  92.7 min left
step  26880 | loss  1.455 |  92.5 min left
step  26890 | loss  1.482 |  92.4 min left
step  26900 | loss  1.461 |  92.3 min left
step  26910 | loss  1.536 |  92.1 min left
step  26920 | loss  1.482 |  92.0 min left
step  26930 | loss  1.452 |  91.8 min left
