corpus     : 1,115,394 characters, vocab 65
model      : 4 layers, 4 heads, 128 dim
parallelism: 8 workers x 3 sequences = batch 24

parameters : 142 tensors

training...

step   870/25000 | loss  2.151 |  1.18 steps/s | ETA 341.6 min
step   880/25000 | loss  2.127 |  1.18 steps/s | ETA 341.7 min
step   890/25000 | loss  2.156 |  1.18 steps/s | ETA 341.8 min
step   900/25000 | loss  2.163 |  1.18 steps/s | ETA 341.8 min
step   910/25000 | loss  2.160 |  1.17 steps/s | ETA 341.8 min
step   920/25000 | loss  2.168 |  1.17 steps/s | ETA 341.8 min
step   930/25000 | loss  2.180 |  1.17 steps/s | ETA 341.9 min
step   940/25000 | loss  2.185 |  1.17 steps/s | ETA 341.9 min
step   950/25000 | loss  2.135 |  1.17 steps/s | ETA 341.9 min
step   960/25000 | loss  2.139 |  1.17 steps/s | ETA 341.8 min
step   970/25000 | loss  2.124 |  1.17 steps/s | ETA 341.8 min
step   980/25000 | loss  2.136 |  1.17 steps/s | ETA 341.7 min
step   990/25000 | loss  2.092 |  1.17 steps/s | ETA 341.8 min
step  1000/25000 | loss  2.143 |  1.17 steps/s | ETA 341.8 min

--- sample ---
Nos sor nore and thee. Kacefrar, sand a air to a trimeng ow brage;
Be cives'd suee ie fie icires eater,
Teere's an to theis treavels to he bre rurd shear
Tus to I sord Mard the Incom dis an so stread your sheing's as leamey ceiours! bast tare ttheen
ste the suxt branke wiell you 
--- end ---

step  1010/25000 | loss  2.135 |  1.12 steps/s | ETA 356.9 min
step  1020/25000 | loss  2.155 |  1.12 steps/s | ETA 356.5 min
step  1030/25000 | loss  2.142 |  1.12 steps/s | ETA 356.2 min
step  1040/25000 | loss  2.120 |  1.12 steps/s | ETA 355.8 min
step  1050/25000 | loss  2.109 |  1.12 steps/s | ETA 355.3 min
step  1060/25000 | loss  2.103 |  1.12 steps/s | ETA 354.9 min
step  1070/25000 | loss  2.097 |  1.12 steps/s | ETA 354.5 min
step  1080/25000 | loss  2.106 |  1.13 steps/s | ETA 354.2 min
step  1090/25000 | loss  2.103 |  1.13 steps/s | ETA 353.8 min
step  1100/25000 | loss  2.129 |  1.13 steps/s | ETA 353.4 min
step  1110/25000 | loss  2.121 |  1.13 steps/s | ETA 353.1 min
step  1120/25000 | loss  2.075 |  1.13 steps/s | ETA 352.8 min
step  1130/25000 | loss  2.102 |  1.13 steps/s | ETA 352.5 min
step  1140/25000 | loss  2.097 |  1.13 steps/s | ETA 352.2 min
step  1150/25000 | loss  2.050 |  1.13 steps/s | ETA 351.9 min
step  1160/25000 | loss  2.098 |  1.13 steps/s | ETA 351.6 min
step  1170/25000 | loss  2.114 |  1.13 steps/s | ETA 351.4 min
step  1180/25000 | loss  2.102 |  1.13 steps/s | ETA 351.1 min
step  1190/25000 | loss  2.102 |  1.13 steps/s | ETA 350.9 min
step  1200/25000 | loss  2.103 |  1.13 steps/s | ETA 350.6 min
step  1210/25000 | loss  2.110 |  1.13 steps/s | ETA 350.3 min
step  1220/25000 | loss  2.098 |  1.13 steps/s | ETA 350.1 min
step  1230/25000 | loss  2.062 |  1.13 steps/s | ETA 349.9 min
step  1240/25000 | loss  2.125 |  1.13 steps/s | ETA 349.7 min
step  1250/25000 | loss  2.058 |  1.13 steps/s | ETA 349.5 min
step  1260/25000 | loss  2.085 |  1.13 steps/s | ETA 349.3 min
step  1270/25000 | loss  2.095 |  1.13 steps/s | ETA 349.2 min
step  1280/25000 | loss  2.116 |  1.13 steps/s | ETA 349.0 min
step  1290/25000 | loss  2.052 |  1.13 steps/s | ETA 348.8 min
step  1300/25000 | loss  2.045 |  1.13 steps/s | ETA 348.6 min
step  1310/25000 | loss  2.073 |  1.13 steps/s | ETA 348.4 min
step  1320/25000 | loss  2.064 |  1.13 steps/s | ETA 348.2 min
step  1330/25000 | loss  2.059 |  1.13 steps/s | ETA 348.0 min
step  1340/25000 | loss  2.009 |  1.13 steps/s | ETA 347.8 min
step  1350/25000 | loss  2.029 |  1.13 steps/s | ETA 347.6 min
step  1360/25000 | loss  2.053 |  1.13 steps/s | ETA 347.4 min
step  1370/25000 | loss  2.060 |  1.13 steps/s | ETA 347.2 min
step  1380/25000 | loss  2.049 |  1.13 steps/s | ETA 347.0 min
step  1390/25000 | loss  2.051 |  1.13 steps/s | ETA 346.8 min
step  1400/25000 | loss  2.066 |  1.13 steps/s | ETA 346.6 min
step  1410/25000 | loss  2.059 |  1.13 steps/s | ETA 346.5 min
step  1420/25000 | loss  2.032 |  1.13 steps/s | ETA 346.3 min
step  1430/25000 | loss  2.041 |  1.14 steps/s | ETA 346.1 min
step  1440/25000 | loss  2.029 |  1.14 steps/s | ETA 345.9 min
step  1450/25000 | loss  2.056 |  1.14 steps/s | ETA 345.7 min
step  1460/25000 | loss  2.048 |  1.14 steps/s | ETA 345.6 min
step  1470/25000 | loss  2.025 |  1.14 steps/s | ETA 345.4 min
